tagName,fieldName,tagDec,tagHex,type,count
Interoperability IFD Pointer,InteroperabilityIFDPointer,40965,A005,LONG,1,
ISO speed rating,ISOSpeedRatings,34855,8827,SHORT,Any,
Lens focal length,FocalLength,37386,920A,RATIONAL,1,
Lens Make,LensMake,42035,A433,ASCII,Any,
Lens Model,LensModel,42036,A434,ASCII,Any,
Lens Serial Number,LensSerialNumber,42037,A435,ASCII,Any,,
Lens Specification,LensSpecification,42034,A432,RATIONAL,4,
Light source,LightSource,37384,9208,SHORT,1,
Manufacturer notes,MakerNote,37500,927C,UNDEFINED,Any,
Maximum lens aperture,MaxApertureValue,37381,9205,RATIONAL,1,
Meaning of each component,ComponentsConfiguration,37121,9101,UNDEFINED,4,
Metering mode,MeteringMode,37383,9207,SHORT,1,
Number of bits per component,BitsPerSample,258,102,SHORT,3,
Number of components,SamplesPerPixel,277,115,SHORT,1,
Number of rows per strip,RowsPerStrip,278,116,SHORT or LONG,1,
Offset to JPEG SOI,JPEGInterchangeFormat,513,201,LONG,1,
Optoelectric conversion factor,OECF,34856,8828,UNDEFINED,Any,
Orientation of image,Orientation,274,112,SHORT,1,
Pair of black and white reference values,ReferenceBlackWhite,532,214,RATIONAL,6,
Person who created the image,Artist,315,13B,ASCII,Any,
Pixel composition,PhotometricInterpretation,262,106,SHORT,1,
Related audio file,RelatedSoundFile,40964,A004,ASCII,13,
Saturation,Saturation,41993,A409,SHORT,1,
Scene capture type,SceneCaptureType,41990,A406,SHORT,1,
Scene type,SceneType,41729,A301,UNDEFINED,1,
Sensing method,SensingMethod,41495,A217,SHORT,1,
Sharpness,Sharpness,41994,A40A,SHORT,1,
Shutter speed,ShutterSpeedValue,37377,9201,SRATIONAL,1,
Software used,Software,305,131,ASCII,Any,
Spatial frequency response,SpatialFrequencyResponse,41484,A20C,UNDEFINED,Any,
Spectral sensitivity,SpectralSensitivity,34852,8824,ASCII,Any,
Subject area,SubjectArea,37396,9214,SHORT,2 or 3 or 4,
Subject distance,SubjectDistance,37382,9206,RATIONAL,1,
Subject distance range,SubjectDistanceRange,41996,A40C,SHORT,1,
Subject location,SubjectLocation,41492,A214,SHORT,2,
Subsampling ratio of Y to C,YCbCrSubSampling,530,212,SHORT,2,
Supported Flashpix version,FlashpixVersion,40960,A000,UNDEFINED,4,
Transfer function,TransferFunction,301,12D,SHORT,3 * 256,
Unique image ID,ImageUniqueID,42016,A420,ASCII,33,
Unit of X and Y resolution,ResolutionUnit,296,128,SHORT,1,
User comments,UserComment,37510,9286,UNDEFINED,Any,
Valid image height,PixelYDimension,40963,A003,SHORT or LONG,1,
Valid image width,PixelXDimension,40962,A002,SHORT or LONG,1,
White balance,WhiteBalance,41987,A403,SHORT,1,
White point chromaticity,WhitePoint,318,13E,RATIONAL,2,
Y and C positioning,YCbCrPositioning,531,213,SHORT,1,
Sensitivity Type,SensitivityType,34864,8830,SHORT,1,
